,role,company,location,time,link,scraped
0,Data Scientist,Optimum Data Analytics,"Pune, Maharashtra, India",24 minutes ago,https://in.linkedin.com/jobs/view/data-scientist-at-optimum-data-analytics-3248368003?refId=rHQrdKNz66v2L8TQH6H7Yg%3D%3D&trackingId=Z6L6JPltTPzqxFdx4Faimg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:39:00
1,Data Analyst,PediaGeek,India,21 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-pediageek-3253728108?refId=rHQrdKNz66v2L8TQH6H7Yg%3D%3D&trackingId=dPamjcQUkPkFzxR0vNn3cQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:39:00
2,Data Scientist,Yallas Technology Solutions,"Bengaluru, Karnataka, India",7 minutes ago,https://in.linkedin.com/jobs/view/data-scientist-at-yallas-technology-solutions-3253728420?refId=rHQrdKNz66v2L8TQH6H7Yg%3D%3D&trackingId=0xT2ARMsg%2BGwEoeEhx3oZQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:39:00
3,Data Scientist,AFIV DATA OUTSOURCING,"Surat, Gujarat, India",36 minutes ago,https://in.linkedin.com/jobs/view/data-scientist-at-afiv-data-outsourcing-3253719928?refId=rHQrdKNz66v2L8TQH6H7Yg%3D%3D&trackingId=BV%2FLlU526yVwpxkq53YxWg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:39:00
4,Data Scientist IV,Zyoin,"Bengaluru, Karnataka, India",39 minutes ago,https://in.linkedin.com/jobs/view/data-scientist-iv-at-zyoin-3248367034?refId=rHQrdKNz66v2L8TQH6H7Yg%3D%3D&trackingId=1ogX5EsMpl6CRRmYEvMHXQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:39:00
5,Data Scientist (Junior/Midlevel) - Remote,Reverate Tech,India,2 hours ago,https://in.linkedin.com/jobs/view/data-scientist-junior-midlevel-remote-at-reverate-tech-3254860226?refId=rHQrdKNz66v2L8TQH6H7Yg%3D%3D&trackingId=beJo4sZ%2FhI9KhjneWZmhAQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:39:00
6,Data Scientist,Sutherland,India,18 hours ago,https://in.linkedin.com/jobs/view/data-scientist-at-sutherland-3252962693?refId=rHQrdKNz66v2L8TQH6H7Yg%3D%3D&trackingId=wG15583HuTYcpC4%2FOj%2BGOw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:39:00
7,Data Analyst,Techno Sportswear Pvt Ltd,"Tiruppur, Tamil Nadu, India",11 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-techno-sportswear-pvt-ltd-3248368503?refId=rHQrdKNz66v2L8TQH6H7Yg%3D%3D&trackingId=BdwfTeFnuoztdypX5AL4YQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:39:00
8,Internship Program,TCR Innovation,India,1 hour ago,https://in.linkedin.com/jobs/view/internship-program-at-tcr-innovation-3253712367?refId=rHQrdKNz66v2L8TQH6H7Yg%3D%3D&trackingId=6wZtNE5gKhwHlaczSZKeUg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:39:00
9,Business Development Executive,iSkillBox,India,18 minutes ago,https://in.linkedin.com/jobs/view/business-development-executive-at-iskillbox-3253725463?refId=rHQrdKNz66v2L8TQH6H7Yg%3D%3D&trackingId=wl4YVhGGQaPjjI5HqVdwBg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:39:00
10,Data Analyst - Internship,Navi,"Bangalore Urban, Karnataka, India",15 hours ago,https://in.linkedin.com/jobs/view/data-analyst-internship-at-navi-3247859705?refId=rHQrdKNz66v2L8TQH6H7Yg%3D%3D&trackingId=12OkyRp%2FOsQAww21AVsNLg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:39:00
11,Python Developer,Mobile Programming LLC,"Bengaluru, Karnataka, India",1 hour ago,https://in.linkedin.com/jobs/view/python-developer-at-mobile-programming-llc-3248357593?refId=rHQrdKNz66v2L8TQH6H7Yg%3D%3D&trackingId=JldgEZAZ7ABelj3hUarEAQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:39:00
12,Machine Learning Engineer,Mesh,India,9 hours ago,https://in.linkedin.com/jobs/view/machine-learning-engineer-at-mesh-3248323233?refId=rHQrdKNz66v2L8TQH6H7Yg%3D%3D&trackingId=GRcvH1bLplLr7aUDChXaOw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:39:00
13,Data Engineer,Winning Edge,"Bengaluru, Karnataka, India",49 minutes ago,https://in.linkedin.com/jobs/view/data-engineer-at-winning-edge-3255757139?refId=rHQrdKNz66v2L8TQH6H7Yg%3D%3D&trackingId=G9uxSMtCsHS0AIJqlNGe8A%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:39:00
14,Customer Success Executive,ARKGENIQ,"Chennai, Tamil Nadu, India",21 minutes ago,https://in.linkedin.com/jobs/view/customer-success-executive-at-arkgeniq-3248368102?refId=rHQrdKNz66v2L8TQH6H7Yg%3D%3D&trackingId=MrckHROdAVsZDRmjH3kWYg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:39:00
